ID,Trap,Boundary,Scaffold,Iterative,Sovereignty,TII_Total,MAI_Knowledge,MAI_Process,BPNS_Autonomy,BPNS_Competence,BPNS_Relatedness,EAS_Construction,EAS_Evaluation,EAS_Integration,AILST_Operational,AILST_Ethical,AILST_Application,AILST_Total,NFCC_Decisiveness,NFCC_Closedmindedness,Defense,Construction
1,17,11,17,19,16,80,22,23,22,19,13,21,10,22,2.7116980636176207,3.1313808079761394,3.701356400777383,3.18,4.1955977141823455,2.1631280597856444,0.333,0.517
2,15,17,14,22,15,83,18,33,20,13,15,20,17,13,4.552833094472019,3.030629617799536,3.4783530787691426,3.69,4.1276645424085,2.7776238667218998,0.669,0.505
3,19,14,23,16,15,87,24,13,17,16,12,22,15,18,4.148932336487377,1.980682790036949,2.0897249570001617,2.74,3.7914221384709217,2.454158565710375,0.216,0.15
4,21,15,20,14,17,87,29,24,15,18,14,18,24,19,4.806510904854837,4.178486569471713,3.9905877016006857,4.33,2.201945415121514,2.639469422175212,0.591,0.104
5,11,13,19,13,13,69,16,16,18,17,8,15,18,11,2.4585410401413843,3.280357927150609,4.320955540313858,3.35,3.3729336536735626,3.4353070442916667,0.913,0.124
6,15,14,17,14,16,76,18,18,19,15,16,15,10,10,4.786820501291207,4.137211243738041,2.821484272880947,3.92,4.32233939179156,4.1917283513951995,0.798,0.101
7,16,20,21,21,17,95,27,22,21,21,16,34,22,18,2.043502937452308,5.4131074215778785,5.416815957526303,4.29,2.504357197607902,2.875300041733335,0.921,0.61
8,16,20,21,16,19,92,23,20,21,22,12,27,10,16,4.346701246070486,4.2527449898960805,5.221372774176102,4.61,1.0,1.3363208558894624,0.979,0.196
9,17,14,16,13,13,73,18,21,19,16,18,12,20,19,3.586828726928215,4.351549905857724,2.8031787579724496,3.58,3.607433550024517,4.843218525758398,0.011,0.251
10,21,15,22,21,15,94,24,17,15,24,19,17,18,17,4.984922376748882,4.479312514141153,3.8010189774402954,4.42,3.510618446153623,2.563290567641717,0.623,0.174
11,16,15,18,14,18,81,17,23,23,12,9,21,16,22,4.306903994898944,2.2126248759024176,6.177986097816707,4.23,3.501882785060261,3.0359551952098713,0.413,0.958
12,14,13,17,14,17,75,16,19,18,16,12,21,22,11,2.415569589833443,4.970751404609418,5.090994245280063,4.16,4.131376389846376,3.673433907561985,0.86,0.855
13,15,19,20,14,18,86,20,23,26,15,12,23,10,24,3.7995968816568806,2.947223321915649,4.533499744242501,3.76,3.9608448931306626,3.304528586780099,0.252,0.23
14,12,12,14,15,9,62,8,14,11,8,12,15,11,6,4.043813490634042,2.6491798473761596,2.54759870260931,3.08,4.4012959342274645,5.2442662951938095,0.981,0.328
15,20,17,12,17,12,78,13,19,21,14,19,14,15,20,4.499692786489875,3.835458279435896,3.4497271018537576,3.93,4.995414247492898,4.268132175911919,0.614,0.21
16,19,13,16,11,13,72,18,24,16,16,15,19,19,20,3.3331141947924317,2.1664913778118393,3.0333390031964003,2.84,2.4264246839377495,2.762488591596783,0.794,0.492
17,16,16,21,18,12,83,14,25,13,24,14,22,12,13,3.9007870385074725,3.668847617562259,1.192961887017809,2.92,4.3637550977545,6.035076932838594,0.086,0.02
18,14,20,16,21,17,88,20,20,16,18,7,8,8,17,5.818936274702371,4.987473261345059,6.444861928623778,5.75,4.038147043556215,3.4112312787910883,0.183,0.671
19,16,18,15,15,14,78,15,24,15,12,18,16,15,22,4.165563061988695,4.226715317476752,3.915811698470207,4.1,2.5944363041103746,3.3925772050917606,0.758,0.523
20,19,19,21,23,20,102,14,28,21,25,11,18,24,8,4.795372175847859,3.7169504034908867,5.320970695805064,4.61,1.829203079034903,3.8747701311467244,0.022,0.899
21,23,18,22,20,21,104,30,14,22,23,16,23,25,22,7.0,3.837844966438773,5.041474252871297,5.29,2.4337595824386677,3.019778620388134,0.817,0.164
22,14,17,12,22,11,76,17,26,12,17,17,27,19,6,3.006848677051191,6.012415918698359,2.41761717469785,3.81,3.385116847446294,4.297383105445705,0.014,0.804
23,23,20,15,23,20,101,23,21,19,15,21,18,19,16,2.990035829149834,5.429998466470661,4.716708373277541,4.38,3.8918807663726205,5.463622550315774,0.657,0.792
24,19,14,14,17,18,82,14,24,26,12,10,15,23,25,4.998900976769064,6.603629606221309,2.8697287573947916,4.82,2.8161468992116103,2.810974122183139,0.365,0.127
25,12,12,19,14,14,71,15,15,22,16,5,24,8,12,3.0697753525645637,5.121034873600934,6.110919645003902,4.77,2.944766475777655,3.215399537646459,0.611,0.399
26,12,10,12,10,13,57,18,7,17,19,16,17,12,9,3.16421349386685,4.566321204168437,2.2856061190340373,3.34,3.2559021683237748,3.7791489166567365,0.696,0.17
27,22,20,18,17,19,96,17,16,19,24,23,21,19,19,4.178753391500305,2.3488288239403055,3.649096258690712,3.39,4.313174599818068,4.098815367014808,0.342,0.255
28,18,11,12,13,12,66,22,18,15,21,20,17,18,27,3.3819419878627133,4.481908266344962,2.9149913843751216,3.59,3.91439560033749,2.20387054369931,0.108,0.263
29,15,18,12,15,16,76,16,25,19,13,16,23,14,7,6.515084537734453,3.733467750997572,5.472367660440159,5.24,3.3889223909475144,1.277893457701317,0.07,0.556
30,16,12,14,12,18,72,18,14,15,11,14,11,15,12,4.7137853895719815,2.7387308085289277,4.539423006078461,4.0,3.2773861531079143,2.4866100524243144,0.589,0.411
31,16,15,16,16,16,79,16,25,16,17,19,20,6,23,5.239052364973611,4.132824818967225,2.8608975346909533,4.08,4.733980435637145,1.6226752867574874,0.521,0.948
