Trap_Item1,Trap_Item2,Trap_Item3,Trap_Item4,Boundary_Item1,Boundary_Item2,Boundary_Item3,Boundary_Item4,Scaffold_Item1,Scaffold_Item2,Scaffold_Item3,Scaffold_Item4,Iterative_Item1,Iterative_Item2,Iterative_Item3,Iterative_Item4,Sovereignty_Item1,Sovereignty_Item2,Sovereignty_Item3,Sovereignty_Item4
5,3,5,4,3,3,3,2,4,4,5,4,6,5,4,4,5,3,4,4
5,3,3,4,4,4,5,4,3,3,4,4,5,6,6,5,4,4,4,3
5,4,5,5,4,3,4,3,6,6,6,5,5,4,4,3,4,4,4,3
5,6,5,5,5,4,3,3,4,5,5,6,4,3,3,4,4,4,5,4
3,3,3,2,3,4,3,3,5,5,4,5,2,3,4,4,3,3,4,3
4,3,3,5,4,3,4,3,4,5,3,5,3,3,5,3,4,4,4,4
6,4,4,2,6,6,4,4,5,6,5,5,6,5,5,5,4,4,5,4
5,3,4,4,6,6,4,4,5,6,4,6,3,5,5,3,4,5,5,5
4,5,4,4,4,3,3,4,3,5,4,4,3,4,3,3,3,3,4,3
5,5,5,6,4,4,4,3,6,6,5,5,5,6,5,5,3,4,4,4
4,4,4,4,3,5,4,3,5,4,5,4,4,4,2,4,4,5,5,4
4,4,3,3,4,3,3,3,4,4,5,4,4,3,3,4,4,4,4,5
4,3,5,3,5,5,5,4,4,6,5,5,4,2,5,3,5,5,4,4
4,2,2,4,3,3,3,3,3,4,3,4,4,4,4,3,2,2,2,3
5,5,5,5,4,4,5,4,3,3,3,3,4,4,4,5,3,3,3,3
5,5,5,4,4,3,3,3,3,4,4,5,3,3,2,3,3,3,4,3
5,3,4,4,4,3,4,5,6,5,6,4,4,4,6,4,2,3,3,4
3,2,4,5,5,6,5,4,4,4,4,4,6,4,6,5,5,4,4,4
4,3,5,4,5,5,4,4,2,5,3,5,4,4,4,3,3,3,4,4
5,5,4,5,5,5,4,5,5,5,5,6,6,6,5,6,6,5,4,5
5,6,5,7,5,5,4,4,5,7,6,4,4,5,6,5,5,5,6,5
6,3,2,3,5,4,4,4,3,3,3,3,5,6,6,5,3,2,2,4
7,6,5,5,5,5,5,5,4,4,4,3,5,5,7,6,4,6,4,6
4,5,5,5,5,3,3,3,4,3,4,3,3,5,5,4,4,5,4,5
4,2,3,3,4,4,2,2,5,6,5,3,3,4,3,4,3,4,3,4
4,3,2,3,4,2,2,2,3,3,3,3,2,3,2,3,3,4,3,3
6,6,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,5,4
5,4,5,4,4,2,3,2,3,3,3,3,3,4,3,3,2,2,3,5
5,3,2,5,5,6,4,3,3,3,3,3,4,4,4,3,5,4,4,3
4,4,3,5,3,3,3,3,3,4,3,4,3,3,3,3,4,5,4,5
4,2,5,5,4,3,5,3,4,3,5,4,3,4,5,4,5,4,3,4
4,3,5,3,6,6,4,4,5,5,5,6,4,5,6,6,3,4,4,3
5,4,4,3,5,5,5,4,6,6,5,6,6,6,5,5,4,3,4,4
4,3,3,2,3,4,4,3,5,4,4,5,5,4,5,4,3,3,2,3
5,5,6,4,5,5,4,3,4,6,4,5,5,5,5,3,4,5,5,6
3,3,3,3,3,4,4,3,4,5,4,5,5,5,5,4,3,4,5,4
5,4,4,5,4,5,3,4,3,3,4,3,3,3,3,3,5,4,5,4
5,4,3,4,4,4,4,3,4,4,3,3,4,4,4,3,2,3,3,1
3,3,4,4,5,6,4,5,4,4,4,5,5,5,4,5,3,4,4,5
5,4,4,4,4,4,4,3,3,4,4,6,4,4,3,5,5,3,4,3
5,5,5,5,3,4,4,4,4,4,4,4,4,5,5,4,2,3,3,3
3,3,4,4,5,3,5,4,2,4,4,4,5,6,6,5,6,5,6,6
4,3,4,3,3,4,4,4,2,4,4,3,4,5,5,4,3,3,3,3
4,4,3,4,3,3,3,3,4,3,5,5,3,2,3,3,2,4,4,4
4,3,3,4,3,2,2,2,4,5,5,5,2,2,3,2,2,3,3,4
4,1,3,3,4,4,3,3,3,3,4,4,4,2,3,3,4,4,4,4
3,4,4,4,5,3,5,4,4,5,5,4,5,6,6,5,5,6,5,6
4,3,4,6,3,3,3,3,4,5,4,4,4,3,4,3,5,4,3,5
6,5,4,5,5,5,4,3,5,4,5,4,4,5,5,5,4,4,5,5
6,5,5,5,4,4,4,3,4,3,5,4,4,5,3,4,5,6,4,5
5,4,5,5,5,5,3,5,5,6,5,4,5,6,7,4,3,4,4,4
3,3,3,4,5,5,5,5,4,4,5,3,4,4,5,5,3,4,4,5
6,4,5,5,6,6,5,5,5,5,4,4,4,3,4,3,4,6,6,6
5,4,6,5,5,6,6,6,4,5,4,4,5,5,5,4,4,5,5,4
4,5,2,3,3,1,2,2,4,4,5,4,4,2,3,2,3,3,3,3
5,3,4,4,4,3,3,4,3,3,4,4,4,3,5,4,3,3,4,4
2,2,3,4,3,4,4,3,5,5,5,5,5,5,4,5,4,4,4,3
6,6,6,6,5,5,5,5,6,6,5,5,7,5,6,4,5,5,4,6
