SubjectID,TII_Total,General_CT,AI_Error_Detection,AI_Offloading,AI_Work_Quality,Free_Critical_Thinking,Free_Writing_Quality
1,65,58,8,11,9,46,61
2,56,53,9,8,15,60,44
3,96,66,18,12,20,66,51
4,37,44,13,7,7,32,44
5,106,54,20,20,19,45,43
6,78,44,20,19,14,47,45
7,102,39,8,10,10,51,40
8,95,50,12,13,18,60,50
9,70,62,8,20,8,54,39
10,127,66,16,16,17,54,53
11,96,47,11,13,16,60,51
12,98,38,11,10,15,49,50
13,75,34,15,12,10,49,23
14,56,60,10,10,11,54,57
15,73,33,11,2,11,54,30
16,89,63,12,14,12,50,43
17,79,35,9,8,20,46,46
18,88,56,10,20,9,62,53
19,103,56,17,10,10,53,52
20,78,43,11,12,14,53,43
21,99,36,19,8,9,42,31
22,94,43,20,8,12,45,41
23,44,63,8,10,0,60,73
24,90,61,15,9,10,46,53
25,22,41,8,17,5,60,31
26,86,64,19,13,17,58,49
27,97,57,13,14,12,49,65
28,86,58,5,14,15,46,48
29,96,78,14,17,11,59,58
30,82,59,20,14,13,57,59
31,86,69,13,16,11,68,67
32,112,27,12,14,14,48,45
33,74,36,15,3,13,50,26
34,74,42,13,20,1,60,63
35,25,36,8,15,15,35,40
36,91,39,13,11,19,35,37
37,53,34,20,9,9,40,41
38,47,39,13,15,14,46,24
39,75,42,5,4,15,60,42
40,68,59,7,5,18,39,65
41,82,53,20,16,11,49,59
42,111,52,12,15,12,49,49
43,81,59,6,13,15,44,57
44,90,50,4,4,11,49,50
45,103,40,20,13,16,44,44
46,70,45,12,6,5,35,44
47,95,45,14,19,15,64,55
48,84,67,17,4,13,53,51
49,57,33,5,11,5,31,55
50,71,42,15,5,13,46,66
51,33,37,10,9,10,54,31
52,66,40,16,10,4,38,40
53,55,43,9,8,9,52,48
54,78,56,20,15,14,57,54
55,85,53,9,18,6,50,57
56,85,55,20,12,12,62,56
57,59,62,17,9,7,50,58
58,81,50,10,15,14,48,56
59,95,54,20,14,10,48,58
60,86,60,13,18,8,55,55
61,54,51,4,4,16,55,54
62,112,42,13,17,9,60,42
63,93,32,16,6,14,41,45
64,78,41,14,7,13,50,56
65,43,57,12,11,8,65,67
66,56,31,0,20,13,37,50
67,69,15,14,19,11,27,31
68,66,49,19,12,8,45,44
69,110,60,14,8,13,46,55
70,68,51,20,17,14,44,40
71,46,63,6,11,9,47,61
72,128,34,13,18,20,32,53
73,27,44,12,10,12,48,46
74,53,44,18,1,18,40,44
75,76,44,18,6,12,44,58
76,89,41,16,16,14,46,38
77,93,40,3,20,12,54,39
78,117,57,11,17,20,43,53
79,69,49,5,20,8,48,55
80,104,63,12,17,12,72,52
81,86,40,14,15,15,50,58
82,43,51,5,17,4,64,56
83,119,52,16,8,13,49,41
84,86,56,9,14,15,45,26
85,109,70,14,14,18,60,48
86,86,33,15,10,9,56,45
87,54,52,11,12,10,53,38
88,77,51,10,14,8,42,47
89,101,71,9,11,15,59,48
90,91,59,14,15,12,63,36
91,91,57,15,12,11,46,70
92,60,59,7,17,4,54,63
93,70,49,16,14,12,33,48
94,95,50,19,11,15,51,54
95,108,39,17,13,20,47,45
96,44,64,17,5,6,63,40
97,55,66,9,11,7,57,48
98,118,39,20,9,20,30,43
99,55,64,15,20,12,63,56
100,58,53,7,1,5,53,41
101,26,24,10,12,4,40,43
102,46,63,19,8,5,54,59
103,130,69,18,15,10,61,69
104,80,45,12,20,7,29,50
105,70,46,12,4,15,43,53
106,101,64,15,10,13,60,51
107,82,65,14,13,11,57,75
108,87,33,14,18,5,53,62
109,81,44,17,20,6,35,50
110,94,59,11,9,18,62,57
111,106,79,11,11,6,61,60
112,138,61,18,17,18,54,64
113,50,56,11,10,11,48,54
114,91,54,15,14,18,53,47
115,61,43,12,10,11,34,42
116,58,56,13,8,16,56,53
117,88,55,18,13,12,55,37
118,44,44,0,12,9,37,44
119,77,43,6,13,11,51,50
120,99,48,19,20,19,35,39
121,99,37,20,10,9,36,36
122,64,67,10,13,11,65,63
123,70,80,18,10,10,52,83
124,100,64,16,18,7,52,43
125,80,29,7,11,12,40,48
126,85,49,15,14,12,38,53
127,96,64,13,13,14,58,56
128,110,57,13,14,14,63,57
129,55,48,11,7,12,53,36
130,52,68,12,12,14,53,48
131,66,47,11,6,8,50,38
132,65,54,18,12,15,44,56
133,69,43,12,1,9,42,47
134,64,42,17,5,18,45,41
135,94,50,15,12,15,62,45
136,89,47,18,20,13,57,58
137,78,32,20,8,17,39,54
138,95,47,20,9,13,57,51
139,53,56,13,6,10,52,51
140,74,43,9,10,16,48,41
141,63,44,15,12,5,45,42
142,54,52,20,14,11,53,46
143,40,50,17,4,14,61,57
144,37,36,13,8,13,37,42
145,92,57,15,12,13,58,34
146,72,32,13,11,10,37,38
147,57,29,2,7,11,35,49
148,123,67,10,15,20,62,47
149,104,53,20,16,8,67,54
150,112,73,10,12,17,66,65
151,128,63,20,16,12,58,65
152,52,65,12,4,8,53,52
153,38,31,16,3,8,33,37
154,74,27,1,12,15,51,50
155,109,47,17,13,17,53,42
156,85,60,17,15,11,49,45
157,71,46,10,20,9,43,42
158,104,59,17,15,10,48,41
159,94,27,5,7,18,31,45
160,96,53,19,14,9,53,47
161,70,46,2,12,9,40,48
162,79,46,8,7,11,45,64
163,75,49,7,20,11,43,43
164,76,61,9,20,12,65,56
165,83,60,7,7,19,66,65
166,44,38,10,4,11,42,39
167,93,50,17,15,9,45,57
168,89,53,16,12,7,43,55
169,117,33,15,20,20,49,48
170,96,56,18,12,16,43,37
171,98,61,17,17,18,46,76
172,53,43,13,0,6,50,53
173,78,51,11,15,11,30,52
174,128,69,15,12,20,66,48
175,72,42,10,14,6,52,51
176,42,74,16,7,8,52,58
177,67,60,9,12,15,65,40
178,88,36,8,12,6,48,40
179,43,40,14,3,11,43,41
180,85,50,8,11,10,40,50
181,77,45,11,12,7,50,64
182,64,37,7,0,7,42,65
183,100,39,20,18,20,30,20
184,71,42,13,6,13,42,56
185,41,41,13,1,18,48,49
186,140,59,16,16,14,63,49
187,84,52,19,15,2,44,64
188,61,41,10,10,5,45,49
189,92,53,9,16,13,40,68
190,117,59,3,10,15,56,54
191,70,53,7,15,2,59,50
192,83,34,11,12,13,43,50
193,117,44,14,12,16,49,51
194,102,76,16,17,16,59,61
195,20,44,7,10,9,47,24
196,94,44,19,17,11,38,73
197,94,50,14,9,12,50,55
198,64,66,14,14,14,52,53
199,88,49,11,15,11,53,43
200,68,71,13,11,13,62,49
201,48,32,14,1,5,47,42
202,64,49,12,16,7,43,35
203,45,44,15,14,14,60,44
204,82,58,18,11,13,40,50
205,96,57,7,20,19,50,56
206,90,24,15,15,8,34,40
207,74,40,12,11,13,48,28
208,100,38,12,11,19,45,59
209,103,77,15,15,9,53,61
210,96,24,18,10,15,39,68
211,71,61,8,4,11,57,49
212,68,59,13,7,5,62,50
213,61,48,10,7,8,48,62
214,50,33,11,9,5,46,57
215,94,42,16,15,11,37,47
216,59,56,11,8,10,49,51
217,110,61,8,20,10,56,33
218,80,52,6,11,16,44,63
219,84,47,11,18,9,37,33
220,87,52,17,14,17,45,36
221,63,48,14,15,6,61,44
222,83,46,5,13,17,48,54
223,61,38,8,5,9,62,53
224,112,51,16,13,12,54,62
225,88,58,19,20,13,55,46
226,57,57,13,6,10,55,60
227,105,56,15,17,10,51,28
228,79,55,14,17,14,49,59
229,53,45,14,9,12,60,53
230,102,66,15,9,7,70,53
231,93,52,20,20,16,56,68
232,69,69,14,12,12,61,42
233,109,36,18,8,5,45,42
234,55,40,11,8,7,57,50
235,118,69,20,20,13,55,46
236,82,41,10,8,11,51,31
237,86,70,9,20,16,66,61
238,52,46,8,9,13,44,60
239,63,39,9,14,11,47,48
240,56,28,15,14,7,29,41
