SubjectID,Task_Type,TII_Total,General_CT,Performance
1,AI-mediated,65,58,39
1,AI-free,65,58,61
2,AI-mediated,56,53,47
2,AI-free,56,53,44
3,AI-mediated,96,66,88
3,AI-free,96,66,51
4,AI-mediated,37,44,64
4,AI-free,37,44,44
5,AI-mediated,106,54,98
5,AI-free,106,54,43
6,AI-mediated,78,44,99
6,AI-free,78,44,45
7,AI-mediated,102,39,39
7,AI-free,102,39,40
8,AI-mediated,95,50,58
8,AI-free,95,50,50
9,AI-mediated,70,62,42
9,AI-free,70,62,39
10,AI-mediated,127,66,78
10,AI-free,127,66,53
11,AI-mediated,96,47,57
11,AI-free,96,47,51
12,AI-mediated,98,38,57
12,AI-free,98,38,50
13,AI-mediated,75,34,76
13,AI-free,75,34,23
14,AI-mediated,56,60,49
14,AI-free,56,60,57
15,AI-mediated,73,33,54
15,AI-free,73,33,30
16,AI-mediated,89,63,59
16,AI-free,89,63,43
17,AI-mediated,79,35,46
17,AI-free,79,35,46
18,AI-mediated,88,56,51
18,AI-free,88,56,53
19,AI-mediated,103,56,84
19,AI-free,103,56,52
20,AI-mediated,78,43,54
20,AI-free,78,43,43
21,AI-mediated,99,36,96
21,AI-free,99,36,31
22,AI-mediated,94,43,99
22,AI-free,94,43,41
23,AI-mediated,44,63,40
23,AI-free,44,63,73
24,AI-mediated,90,61,76
24,AI-free,90,61,53
25,AI-mediated,22,41,39
25,AI-free,22,41,31
26,AI-mediated,86,64,93
26,AI-free,86,64,49
27,AI-mediated,97,57,63
27,AI-free,97,57,65
28,AI-mediated,86,58,25
28,AI-free,86,58,48
29,AI-mediated,96,78,69
29,AI-free,96,78,58
30,AI-mediated,82,59,100
30,AI-free,82,59,59
31,AI-mediated,86,69,63
31,AI-free,86,69,67
32,AI-mediated,112,27,60
32,AI-free,112,27,45
33,AI-mediated,74,36,77
33,AI-free,74,36,26
34,AI-mediated,74,42,63
34,AI-free,74,42,63
35,AI-mediated,25,36,39
35,AI-free,25,36,40
36,AI-mediated,91,39,65
36,AI-free,91,39,37
37,AI-mediated,53,34,100
37,AI-free,53,34,41
38,AI-mediated,47,39,66
38,AI-free,47,39,24
39,AI-mediated,75,42,27
39,AI-free,75,42,42
40,AI-mediated,68,59,36
40,AI-free,68,59,65
41,AI-mediated,82,53,100
41,AI-free,82,53,59
42,AI-mediated,111,52,61
42,AI-free,111,52,49
43,AI-mediated,81,59,30
43,AI-free,81,59,57
44,AI-mediated,90,50,20
44,AI-free,90,50,50
45,AI-mediated,103,40,100
45,AI-free,103,40,44
46,AI-mediated,70,45,58
46,AI-free,70,45,44
47,AI-mediated,95,45,71
47,AI-free,95,45,55
48,AI-mediated,84,67,84
48,AI-free,84,67,51
49,AI-mediated,57,33,25
49,AI-free,57,33,55
50,AI-mediated,71,42,77
50,AI-free,71,42,66
51,AI-mediated,33,37,52
51,AI-free,33,37,31
52,AI-mediated,66,40,82
52,AI-free,66,40,40
53,AI-mediated,55,43,44
53,AI-free,55,43,48
54,AI-mediated,78,56,100
54,AI-free,78,56,54
55,AI-mediated,85,53,43
55,AI-free,85,53,57
56,AI-mediated,85,55,100
56,AI-free,85,55,56
57,AI-mediated,59,62,87
57,AI-free,59,62,58
58,AI-mediated,81,50,50
58,AI-free,81,50,56
59,AI-mediated,95,54,100
59,AI-free,95,54,58
60,AI-mediated,86,60,66
60,AI-free,86,60,55
61,AI-mediated,54,51,19
61,AI-free,54,51,54
62,AI-mediated,112,42,66
62,AI-free,112,42,42
63,AI-mediated,93,32,79
63,AI-free,93,32,45
64,AI-mediated,78,41,71
64,AI-free,78,41,56
65,AI-mediated,43,57,60
65,AI-free,43,57,67
66,AI-mediated,56,31,0
66,AI-free,56,31,50
67,AI-mediated,69,15,70
67,AI-free,69,15,31
68,AI-mediated,66,49,95
68,AI-free,66,49,44
69,AI-mediated,110,60,69
69,AI-free,110,60,55
70,AI-mediated,68,51,100
70,AI-free,68,51,40
71,AI-mediated,46,63,30
71,AI-free,46,63,61
72,AI-mediated,128,34,64
72,AI-free,128,34,53
73,AI-mediated,27,44,61
73,AI-free,27,44,46
74,AI-mediated,53,44,88
74,AI-free,53,44,44
75,AI-mediated,76,44,89
75,AI-free,76,44,58
76,AI-mediated,89,41,81
76,AI-free,89,41,38
77,AI-mediated,93,40,14
77,AI-free,93,40,39
78,AI-mediated,117,57,53
78,AI-free,117,57,53
79,AI-mediated,69,49,25
79,AI-free,69,49,55
80,AI-mediated,104,63,60
80,AI-free,104,63,52
81,AI-mediated,86,40,72
81,AI-free,86,40,58
82,AI-mediated,43,51,26
82,AI-free,43,51,56
83,AI-mediated,119,52,79
83,AI-free,119,52,41
84,AI-mediated,86,56,46
84,AI-free,86,56,26
85,AI-mediated,109,70,69
85,AI-free,109,70,48
86,AI-mediated,86,33,74
86,AI-free,86,33,45
87,AI-mediated,54,52,55
87,AI-free,54,52,38
88,AI-mediated,77,51,50
88,AI-free,77,51,47
89,AI-mediated,101,71,46
89,AI-free,101,71,48
90,AI-mediated,91,59,70
90,AI-free,91,59,36
91,AI-mediated,91,57,76
91,AI-free,91,57,70
92,AI-mediated,60,59,34
92,AI-free,60,59,63
93,AI-mediated,70,49,78
93,AI-free,70,49,48
94,AI-mediated,95,50,97
