SubjectID,Group,Pre_Trap,Pre_Boundary,Pre_Scaffold,Pre_Iterative,Pre_Sovereignty,Pre_TII_Total,Pre_General_CT,Pre_AI_Dependence,Pre_MAI,Post_Trap,Post_Boundary,Post_Scaffold,Post_Iterative,Post_Sovereignty,Post_TII_Total,Post_General_CT,Post_AI_Dependence,Post_MAI,Gain_Trap,Gain_Boundary,Gain_Scaffold,Gain_Iterative,Gain_Sovereignty,Gain_TII_Total,Gain_General_CT,Gain_AI_Dependence,Gain_MAI,Transfer_Error_Detection_Raw,Transfer_Error_Detection_Rate,Transfer_Offloading_Raw,Transfer_Offloading_Rate,Behavior_Offloading_Raw,Behavior_Offloading_Rate
1,CTI,14,15,17,14,19,79,43,69,28,17,15,20,20,20,92,49,52,30,3,0,3,6,1,13,6,-17,2,9,0.9,9,0.9,4,0.2
2,No_Intervention,18,21,13,12,18,82,54,62,60,17,24,12,11,17,81,59,57,61,-1,3,-1,-1,-1,-1,5,-5,1,5,0.5,1,0.1,14,0.7
3,No_Intervention,21,17,15,14,12,79,44,43,42,20,20,13,12,10,75,46,42,41,-1,3,-2,-2,-2,-4,2,-1,-1,6,0.6,3,0.3,13,0.65
4,No_Intervention,15,12,20,17,14,78,39,47,45,14,8,21,21,12,76,47,50,42,-1,-4,1,4,-2,-2,8,3,-3,2,0.2,1,0.1,12,0.6
5,No_Intervention,15,14,12,20,16,77,63,34,47,15,14,10,20,12,71,76,24,38,0,0,-2,0,-4,-6,13,-10,-9,4,0.4,6,0.6,9,0.45
6,No_Intervention,16,15,17,21,16,85,55,29,47,9,17,19,25,13,83,52,34,44,-7,2,2,4,-3,-2,-3,5,-3,5,0.5,5,0.5,17,0.85
7,Active_Control,20,17,15,17,16,85,45,56,30,28,18,16,21,14,97,52,44,30,8,1,1,4,-2,12,7,-12,0,4,0.4,3,0.3,7,0.35
8,CTI,16,15,14,20,15,80,47,70,24,20,25,15,23,17,100,56,38,24,4,10,1,3,2,20,9,-32,0,8,0.8,9,0.9,2,0.1
9,Active_Control,14,15,16,16,16,77,35,41,38,10,12,14,18,22,76,38,39,40,-4,-3,-2,2,6,-1,3,-2,2,0,0.0,4,0.4,9,0.45
10,No_Intervention,13,16,13,19,21,82,54,59,21,9,19,17,28,20,93,56,54,29,-4,3,4,9,-1,11,2,-5,8,2,0.2,2,0.2,15,0.75
11,Active_Control,13,12,15,12,15,67,29,70,42,13,16,11,8,18,66,38,58,44,0,4,-4,-4,3,-1,9,-12,2,6,0.6,5,0.5,8,0.4
12,No_Intervention,15,15,13,16,18,77,50,42,33,15,12,11,19,12,69,47,48,32,0,-3,-2,3,-6,-8,-3,6,-1,3,0.3,1,0.1,14,0.7
13,CTI,15,16,12,16,14,73,50,33,34,18,26,9,21,17,91,57,35,48,3,10,-3,5,3,18,7,2,14,7,0.7,7,0.7,7,0.35
14,No_Intervention,18,16,17,18,21,90,37,62,44,16,22,16,17,22,93,36,60,52,-2,6,-1,-1,1,3,-1,-2,8,2,0.2,4,0.4,15,0.75
15,Active_Control,17,9,14,17,15,72,36,30,63,20,6,19,13,15,73,37,28,61,3,-3,5,-4,0,1,1,-2,-2,4,0.4,3,0.3,13,0.65
16,CTI,15,18,15,14,16,78,37,47,25,18,21,21,19,19,98,42,31,27,3,3,6,5,3,20,5,-16,2,9,0.9,8,0.8,4,0.2
17,Active_Control,17,15,13,16,15,76,56,50,44,19,21,14,13,22,89,59,52,44,2,6,1,-3,7,13,3,2,0,5,0.5,2,0.2,11,0.55
18,CTI,15,12,13,18,15,73,36,59,41,11,17,14,19,21,82,40,48,44,-4,5,1,1,6,9,4,-11,3,10,1.0,6,0.6,7,0.35
19,CTI,12,14,16,15,16,73,34,36,56,13,17,14,17,13,74,39,10,65,1,3,-2,2,-3,1,5,-26,9,8,0.8,9,0.9,4,0.2
20,Active_Control,12,14,13,16,13,68,50,32,49,19,14,14,8,12,67,49,24,48,7,0,1,-8,-1,-1,-1,-8,-1,4,0.4,3,0.3,11,0.55
21,Active_Control,15,15,18,16,17,81,49,65,53,14,13,16,8,21,72,51,60,53,-1,-2,-2,-8,4,-9,2,-5,0,3,0.3,5,0.5,14,0.7
22,CTI,17,15,16,17,17,82,55,35,32,21,18,16,21,13,89,62,10,42,4,3,0,4,-4,7,7,-25,10,9,0.9,6,0.6,4,0.2
23,No_Intervention,21,17,15,16,18,87,45,59,28,25,15,14,16,18,88,48,60,25,4,-2,-1,0,0,1,3,1,-3,1,0.1,2,0.2,11,0.55
24,Active_Control,15,19,16,16,14,80,62,70,44,13,17,8,18,12,68,70,59,44,-2,-2,-8,2,-2,-12,8,-11,0,5,0.5,4,0.4,10,0.5
25,CTI,18,15,14,17,19,83,53,58,46,24,14,14,22,22,96,54,44,60,6,-1,0,5,3,13,1,-14,14,6,0.6,7,0.7,2,0.1
26,CTI,12,13,12,17,16,70,63,43,40,14,18,16,20,22,90,71,21,46,2,5,4,3,6,20,8,-22,6,9,0.9,9,0.9,5,0.25
27,CTI,15,18,14,18,19,84,57,50,37,17,23,18,23,19,100,57,35,39,2,5,4,5,0,16,0,-15,2,8,0.8,9,0.9,8,0.4
28,Active_Control,15,16,14,18,18,81,63,44,27,15,20,15,14,17,81,70,43,29,0,4,1,-4,-1,0,7,-1,2,5,0.5,5,0.5,11,0.55
29,CTI,15,14,12,14,16,71,47,29,47,21,17,18,26,13,95,52,10,61,6,3,6,12,-3,24,5,-19,14,9,0.9,9,0.9,5,0.25
30,CTI,14,18,15,14,14,75,55,26,28,11,21,17,17,13,79,54,10,27,-3,3,2,3,-1,4,-1,-16,-1,8,0.8,10,1.0,3,0.15
31,No_Intervention,17,18,11,16,18,80,45,61,22,16,17,7,19,16,75,43,67,24,-1,-1,-4,3,-2,-5,-2,6,2,3,0.3,2,0.2,17,0.85
32,No_Intervention,16,18,15,14,16,79,45,63,45,12,21,15,10,14,72,44,54,51,-4,3,0,-4,-2,-7,-1,-9,6,4,0.4,5,0.5,16,0.8
33,CTI,19,16,14,17,16,82,43,41,42,21,21,18,7,14,81,45,33,45,2,5,4,-10,-2,-1,2,-8,3,7,0.7,7,0.7,2,0.1
34,Active_Control,18,15,15,16,12,76,37,36,35,21,14,11,13,14,73,39,29,40,3,-1,-4,-3,2,-3,2,-7,5,6,0.6,5,0.5,14,0.7
35,No_Intervention,17,16,16,17,18,84,49,59,42,15,17,14,23,19,88,46,55,46,-2,1,-2,6,1,4,-3,-4,4,3,0.3,3,0.3,13,0.65
36,Active_Control,16,15,15,16,14,76,60,43,40,14,10,13,15,14,66,60,39,40,-2,-5,-2,-1,0,-10,0,-4,0,4,0.4,3,0.3,7,0.35
37,Active_Control,18,14,16,13,16,77,65,45,57,18,11,9,18,20,76,70,50,66,0,-3,-7,5,4,-1,5,5,9,4,0.4,4,0.4,13,0.65
38,Active_Control,20,15,15,17,19,86,64,70,39,18,24,19,17,22,100,62,70,34,-2,9,4,0,3,14,-2,0,-5,4,0.4,4,0.4,10,0.5
39,CTI,18,14,14,16,16,78,42,59,29,21,12,16,20,18,87,40,44,44,3,-2,2,4,2,9,-2,-15,15,7,0.7,10,1.0,3,0.15
40,No_Intervention,17,12,16,19,14,78,49,39,45,17,14,17,18,13,79,45,40,43,0,2,1,-1,-1,1,-4,1,-2,3,0.3,4,0.4,10,0.5
41,Active_Control,15,17,14,16,16,78,51,66,43,8,15,18,19,8,68,54,69,47,-7,-2,4,3,-8,-10,3,3,4,4,0.4,5,0.5,7,0.35
42,No_Intervention,16,14,14,17,18,79,52,43,35,12,17,14,21,17,81,52,34,35,-4,3,0,4,-1,2,0,-9,0,1,0.1,5,0.5,11,0.55
43,CTI,16,17,15,16,17,81,41,44,61,20,18,20,22,25,105,46,34,70,4,1,5,6,8,24,5,-10,9,9,0.9,8,0.8,6,0.3
44,CTI,17,15,15,20,15,82,45,56,47,18,15,10,19,16,78,48,38,47,1,0,-5,-1,1,-4,3,-18,0,10,1.0,6,0.6,6,0.3
45,Active_Control,14,15,12,15,16,72,38,38,47,18,14,10,17,17,76,40,46,50,4,-1,-2,2,1,4,2,8,3,2,0.2,6,0.6,11,0.55
46,Active_Control,13,11,15,14,16,69,59,52,35,12,6,16,17,22,73,66,43,38,-1,-5,1,3,6,4,7,-9,3,4,0.4,5,0.5,9,0.45
47,CTI,16,15,15,18,14,78,40,57,26,18,19,18,19,19,93,46,24,34,2,4,3,1,5,15,6,-33,8,9,0.9,9,0.9,5,0.25
48,Active_Control,15,17,16,13,15,76,60,43,37,21,16,18,16,20,91,63,38,37,6,-1,2,3,5,15,3,-5,0,3,0.3,6,0.6,7,0.35
49,No_Intervention,18,15,14,16,15,78,75,39,63,20,16,16,14,12,78,71,44,60,2,1,2,-2,-3,0,-4,5,-3,6,0.6,2,0.2,14,0.7
50,CTI,15,16,14,20,18,83,31,66,43,15,21,20,21,16,93,37,56,50,0,5,6,1,-2,10,6,-10,7,9,0.9,8,0.8,5,0.25
51,No_Intervention,17,17,13,14,15,76,40,53,63,15,16,7,17,19,74,37,50,66,-2,-1,-6,3,4,-2,-3,-3,3,4,0.4,5,0.5,15,0.75
52,Active_Control,17,17,15,16,16,81,60,51,31,17,16,16,20,12,81,69,38,30,0,-1,1,4,-4,0,9,-13,-1,4,0.4,5,0.5,8,0.4
53,CTI,12,14,16,18,17,77,39,46,36,15,11,20,21,14,81,53,43,27,3,-3,4,3,-3,4,14,-3,-9,7,0.7,8,0.8,4,0.2
54,Active_Control,16,16,17,17,16,82,48,56,28,17,14,17,16,15,79,54,65,29,1,-2,0,-1,-1,-3,6,9,1,4,0.4,3,0.3,11,0.55
55,Active_Control,17,12,17,12,14,72,47,52,50,20,13,26,10,9,78,54,60,49,3,1,9,-2,-5,6,7,8,-1,6,0.6,3,0.3,8,0.4
