SubjectID,Trap,Boundary,Scaffold,Iterative,Sovereignty,Defense,Construction,Higher_Order_Thinking
1,20,18,26,24,18,38,50,78
2,10,11,15,12,4,21,27,59
3,8,6,10,17,10,14,27,64
4,16,16,4,14,15,32,18,70
5,19,24,19,28,9,43,47,73
6,24,19,13,15,21,43,28,74
7,21,27,14,13,13,48,27,64
8,6,4,4,14,5,10,18,52
9,21,16,19,18,16,37,37,71
10,15,16,25,26,15,31,51,67
11,18,11,15,22,4,29,37,66
12,15,13,12,16,20,28,28,65
13,16,11,9,7,9,27,16,64
14,4,4,4,4,4,8,8,57
15,12,9,4,6,13,21,10,65
16,25,28,16,17,16,53,33,69
17,4,5,17,13,4,9,30,57
18,4,4,17,11,14,8,28,58
19,28,27,23,18,25,55,41,72
20,14,4,11,14,8,18,25,66
21,10,4,13,9,18,14,22,69
22,4,8,17,14,15,12,31,54
23,14,13,4,11,4,27,15,70
24,27,23,15,13,26,50,28,61
25,20,22,23,23,27,42,46,66
26,18,16,13,14,22,34,27,73
27,26,22,28,27,20,48,55,68
28,8,18,17,10,10,26,27,73
29,24,20,19,23,13,44,42,66
30,28,28,16,15,19,56,31,58
31,10,4,14,15,13,14,29,58
32,7,8,12,12,6,15,24,54
33,6,11,8,11,13,17,19,56
34,15,14,15,15,20,29,30,69
35,9,8,13,11,22,17,24,71
36,12,14,9,19,7,26,28,64
37,17,23,15,20,15,40,35,72
38,9,15,4,9,16,24,13,61
39,18,17,14,14,23,35,28,81
40,26,21,22,21,21,47,43,71
41,15,12,17,16,14,27,33,67
42,16,21,12,17,18,37,29,67
43,25,27,14,26,13,52,40,72
44,12,14,4,10,23,26,14,72
45,4,5,15,13,4,9,28,58
46,28,27,23,22,27,55,45,60
47,11,9,27,28,13,20,55,63
48,23,27,19,19,28,50,38,71
49,9,4,8,14,16,13,22,64
50,28,28,24,26,17,56,50,63
51,8,18,19,13,13,26,32,74
52,4,13,9,7,13,17,16,69
53,16,14,16,22,25,30,38,70
54,19,15,19,14,17,34,33,68
55,20,23,28,28,17,43,56,75
56,9,7,9,11,15,16,20,67
57,12,13,16,14,13,25,30,72
58,16,20,28,16,22,36,44,70
59,22,22,9,9,19,44,18,60
60,14,21,10,23,27,35,33,71
61,18,16,9,13,21,34,22,67
62,13,15,19,18,19,28,37,76
63,15,16,12,18,15,31,30,62
64,17,10,16,14,12,27,30,69
65,4,8,24,22,4,12,46,61
66,22,21,18,7,7,43,25,62
67,15,11,19,17,6,26,36,65
68,27,20,21,21,19,47,42,70
69,22,15,8,19,26,37,27,74
70,16,24,13,11,24,40,24,70
71,19,11,22,22,14,30,44,69
72,21,20,19,15,19,41,34,69
73,12,15,17,19,11,27,36,66
74,17,17,15,11,16,34,26,75
75,16,15,25,20,16,31,45,68
76,8,11,17,10,18,19,27,61
77,16,20,21,11,12,36,32,73
78,4,4,5,4,8,8,9,53
79,4,4,7,8,18,8,15,58
80,25,20,21,16,20,45,37,70
81,11,7,23,15,5,18,38,57
82,19,21,13,11,19,40,24,70
83,28,28,22,20,25,56,42,72
84,13,19,17,24,20,32,41,68
85,17,15,14,11,17,32,25,70
86,18,11,19,13,17,29,32,72
87,23,28,22,24,24,51,46,71
88,7,9,4,4,13,16,8,65
89,26,24,21,18,20,50,39,67
90,8,4,15,19,10,12,34,64
