SubjectID,Wave,Time,Trap,Boundary,Scaffold,Iterative,Sovereignty,Defense,Construction,TII_Total,General_CT,AI_Use_Frequency_Raw,AI_Use_Frequency_Rate,Academic_Self_Efficacy,Prior_AI_Experience,Discipline,Institutional_AI_Policy
1,1,1,14,14,26,14,18,28,40,86,68,25,50.0,20,1,STEM,0
1,2,2,17,17,18,10,18,34,28,80,60,24,48.0,18,1,STEM,0
1,3,3,17,18,19,10,18,35,29,82,73,23,46.0,16,1,STEM,0
1,4,4,17,18,22,13,20,35,35,90,67,31,62.0,16,1,STEM,0
2,1,1,25,11,7,18,14,36,25,75,55,28,56.0,13,0,Humanities,1
2,2,2,22,10,7,16,14,32,23,69,51,32,64.0,16,0,Humanities,1
2,3,3,19,8,10,23,14,27,33,74,68,30,60.0,20,0,Humanities,1
2,4,4,15,7,9,22,12,22,31,65,70,33,66.0,14,0,Humanities,1
3,1,1,10,22,14,14,12,32,28,72,53,37,74.0,20,1,Humanities,0
3,2,2,11,26,19,18,9,37,37,83,59,42,84.0,19,1,Humanities,0
3,3,3,10,23,15,14,13,33,29,75,61,42,84.0,17,1,Humanities,0
3,4,4,13,28,17,16,13,41,33,87,61,40,80.0,22,1,Humanities,0
4,1,1,14,15,13,20,14,29,33,76,81,31,62.0,13,0,STEM,0
4,2,2,18,19,17,26,13,37,43,93,68,37,74.0,15,0,STEM,0
4,3,3,22,22,16,26,17,44,42,103,70,39,78.0,15,0,STEM,0
4,4,4,21,22,15,23,17,43,38,98,71,48,96.0,14,0,STEM,0
5,1,1,16,16,9,13,15,32,22,69,52,26,52.0,21,0,Humanities,1
5,2,2,17,18,12,16,11,35,28,74,56,27,54.0,25,0,Humanities,1
5,3,3,15,15,13,17,15,30,30,75,56,31,62.0,22,0,Humanities,1
5,4,4,17,18,14,20,12,35,34,81,66,33,66.0,20,0,Humanities,1
6,1,1,13,18,15,15,16,31,30,77,81,26,52.0,22,0,Humanities,1
6,2,2,12,17,13,12,13,29,25,67,85,30,60.0,19,0,Humanities,1
6,3,3,14,20,17,16,11,34,33,78,87,29,58.0,19,0,Humanities,1
6,4,4,14,21,20,20,13,35,40,88,91,35,70.0,24,0,Humanities,1
7,1,1,9,23,10,4,18,32,14,64,66,23,46.0,16,1,Humanities,0
7,2,2,11,26,17,6,16,37,23,76,48,27,54.0,19,1,Humanities,0
7,3,3,14,28,19,7,19,42,26,87,58,31,62.0,17,1,Humanities,0
7,4,4,12,28,23,8,19,40,31,90,57,36,72.0,21,1,Humanities,0
8,1,1,28,8,9,23,16,36,32,84,70,24,48.0,21,0,Humanities,1
8,2,2,23,6,9,24,17,29,33,79,70,25,50.0,21,0,Humanities,1
8,3,3,24,7,9,24,18,31,33,82,86,23,46.0,18,0,Humanities,1
8,4,4,26,7,11,28,22,33,39,94,85,24,48.0,19,0,Humanities,1
9,1,1,10,17,12,18,15,27,30,72,67,20,40.0,27,1,Humanities,0
9,2,2,12,20,10,17,13,32,27,72,60,23,46.0,25,1,Humanities,0
9,3,3,11,19,13,21,14,30,34,78,68,30,60.0,28,1,Humanities,0
9,4,4,10,17,15,24,14,27,39,80,64,34,68.0,28,1,Humanities,0
10,1,1,13,20,22,17,21,33,39,93,67,34,68.0,18,1,Humanities,0
10,2,2,15,23,23,18,19,38,41,98,66,35,70.0,19,1,Humanities,0
10,3,3,13,21,27,21,21,34,48,103,75,41,82.0,18,1,Humanities,0
10,4,4,15,22,28,21,24,37,49,110,72,44,88.0,19,1,Humanities,0
11,1,1,12,17,17,13,10,29,30,69,62,13,26.0,13,0,Humanities,0
11,2,2,13,19,13,11,13,32,24,69,57,23,46.0,12,0,Humanities,0
11,3,3,13,17,13,10,11,30,23,64,58,20,40.0,15,0,Humanities,0
11,4,4,14,19,14,11,12,33,25,70,68,31,62.0,15,0,Humanities,0
12,1,1,13,15,9,23,14,28,32,74,63,38,76.0,17,0,Humanities,1
12,2,2,16,19,8,22,14,35,30,79,65,39,78.0,20,0,Humanities,1
12,3,3,16,18,8,21,12,34,29,75,67,42,84.0,20,0,Humanities,1
12,4,4,19,23,9,22,14,42,31,87,70,50,100.0,21,0,Humanities,1
13,1,1,17,15,17,15,14,32,32,78,64,32,64.0,26,0,Humanities,0
